e2e_s,ttft_s,completion_tokens,prompt_tokens,total_tokens,prompt_name,run_id,concurrency,max_tokens,temperature,stream
0.6961225131526589,,37,44,81,short_chat,0,1,128,0.0,False
0.5077206837013364,,37,44,81,short_chat,1,1,128,0.0,False
0.5028480961918831,,37,44,81,short_chat,2,1,128,0.0,False
0.5031401058658957,,37,44,81,short_chat,3,1,128,0.0,False
0.5019560027867556,,37,44,81,short_chat,4,1,128,0.0,False
1.7399861244484782,,128,54,182,tool_use,0,1,128,0.0,False
1.7329467721283436,,128,54,182,tool_use,1,1,128,0.0,False
1.7319826940074563,,128,54,182,tool_use,2,1,128,0.0,False
1.7339245546609163,,128,54,182,tool_use,3,1,128,0.0,False
1.736847867257893,,128,54,182,tool_use,4,1,128,0.0,False
0.43972724862396717,,32,66,98,long_context,0,1,128,0.0,False
0.4395112106576562,,32,66,98,long_context,1,1,128,0.0,False
0.4347860226407647,,32,66,98,long_context,2,1,128,0.0,False
0.4378961157053709,,32,66,98,long_context,3,1,128,0.0,False
0.4376994837075472,,32,66,98,long_context,4,1,128,0.0,False
